USA,Database,Name,Accession,Type,Length,GC,CAI,Organism,Description
fasta::barcode71.ffn:bc71_00688,-,bc71_00688,-,N,387,58.14,0.482,,hypothetical protein
fasta::barcode71.ffn:bc71_00689,-,bc71_00689,-,N,1974,68.39,0.773,,Acetoin catabolism regulatory protein
fasta::barcode71.ffn:bc71_00690,-,bc71_00690,-,N,933,64.84,0.882,,Adenosine kinase
fasta::barcode71.ffn:bc71_00691,-,bc71_00691,-,N,1047,66.67,0.819,,Cell shape-determining protein MreB
fasta::barcode71.ffn:bc71_00692,-,bc71_00692,-,N,1350,71.33,0.632,,rod shape-determining protein MreC
fasta::barcode71.ffn:bc71_00693,-,bc71_00693,-,N,486,67.28,0.717,,Rod shape-determining protein MreD
fasta::barcode71.ffn:bc71_00694,-,bc71_00694,-,N,2061,68.95,0.781,,Peptidoglycan DD-transpeptidase MrdA
fasta::barcode71.ffn:bc71_00695,-,bc71_00695,-,N,1119,67.2,0.798,,Peptidoglycan glycosyltransferase MrdB
fasta::barcode71.ffn:bc71_00696,-,bc71_00696,-,N,714,59.66,0.553,,Type IV secretory system Conjugative DNA transfer
fasta::barcode71.ffn:bc71_00697,-,bc71_00697,-,N,264,58.71,0.656,,IS3 family transposase IS1404
fasta::barcode71.ffn:bc71_00698,-,bc71_00698,-,N,816,61.27,0.605,,IS3 family transposase IS1404
fasta::barcode71.ffn:bc71_00699,-,bc71_00699,-,N,969,54.18,0.621,,Protein VirD4
fasta::barcode71.ffn:bc71_00700,-,bc71_00700,-,N,645,56.28,0.45,,hypothetical protein
fasta::barcode71.ffn:bc71_00701,-,bc71_00701,-,N,2913,62.17,0.497,,Zeta toxin
fasta::barcode71.ffn:bc71_00702,-,bc71_00702,-,N,237,59.92,0.479,,hypothetical protein
fasta::barcode71.ffn:bc71_00703,-,bc71_00703,-,N,267,54.31,0.466,,hypothetical protein
fasta::barcode71.ffn:bc71_00704,-,bc71_00704,-,N,1338,63.9,0.592,,IS5 family transposase IS1478
fasta::barcode71.ffn:bc71_00705,-,bc71_00705,-,N,180,60.56,0.556,,hypothetical protein
fasta::barcode71.ffn:bc71_00706,-,bc71_00706,-,N,1401,62.96,0.659,,Endo-polygalacturonase
fasta::barcode71.ffn:bc71_00707,-,bc71_00707,-,N,1140,66.67,0.723,,Membrane-bound lytic murein transglycosylase B
fasta::barcode71.ffn:bc71_00708,-,bc71_00708,-,N,1356,69.1,0.715,,Endolytic peptidoglycan transglycosylase RlpA
fasta::barcode71.ffn:bc71_00709,-,bc71_00709,-,N,1212,65.18,0.786,,D-alanyl-D-alanine carboxypeptidase DacC
fasta::barcode71.ffn:bc71_00710,-,bc71_00710,-,N,1062,66.57,0.749,,hypothetical protein
fasta::barcode71.ffn:bc71_00711,-,bc71_00711,-,N,984,63.92,0.651,,hypothetical protein
fasta::barcode71.ffn:bc71_00712,-,bc71_00712,-,N,279,63.44,0.684,,hypothetical protein
fasta::barcode71.ffn:bc71_00713,-,bc71_00713,-,N,672,66.67,0.677,,Octanoyltransferase
fasta::barcode71.ffn:bc71_00714,-,bc71_00714,-,N,1014,67.55,0.801,,Lipoyl synthase
fasta::barcode71.ffn:bc71_00715,-,bc71_00715,-,N,2184,64.47,0.746,,Tail-specific protease
fasta::barcode71.ffn:bc71_00716,-,bc71_00716,-,N,744,68.15,0.58,,Sulfite exporter TauE/SafE
fasta::barcode71.ffn:bc71_00717,-,bc71_00717,-,N,906,70.64,0.643,,DNA-binding transcriptional activator AllS 
fasta::barcode71.ffn:bc71_00718,-,bc71_00718,-,N,867,64.94,0.682,,Endonuclease/Exonuclease/phosphatase family protein
fasta::barcode71.ffn:bc71_00719,-,bc71_00719,-,N,1056,65.06,0.712,,Bifunctional NMN adenylyltransferase/Nudix hydrolase
fasta::barcode71.ffn:bc71_00720,-,bc71_00720,-,N,1407,64.39,0.721,,Nicotinate phosphoribosyltransferase (NAPRTase) family protein
fasta::barcode71.ffn:bc71_00721,-,bc71_00721,-,N,1146,68.24,0.712,,hypothetical protein
fasta::barcode71.ffn:bc71_00722,-,bc71_00722,-,N,1065,70.99,0.736,,hypothetical protein
fasta::barcode71.ffn:bc71_00723,-,bc71_00723,-,N,786,68.96,0.629,,hypothetical protein
fasta::barcode71.ffn:bc71_00724,-,bc71_00724,-,N,378,63.23,0.627,,hypothetical protein
fasta::barcode71.ffn:bc71_00725,-,bc71_00725,-,N,1383,66.31,0.642,,hypothetical protein
fasta::barcode71.ffn:bc71_00726,-,bc71_00726,-,N,942,66.35,0.726,,6-phosphogluconate dehydrogenase 
fasta::barcode71.ffn:bc71_00727,-,bc71_00727,-,N,1059,68.74,0.729,,putative oxidoreductase YdgJ
fasta::barcode71.ffn:bc71_00728,-,bc71_00728,-,N,372,61.29,0.709,,Osmotically-inducible protein Y
fasta::barcode71.ffn:bc71_00729,-,bc71_00729,-,N,1812,65.56,0.766,,Adaptive-response sensory-kinase SasA
fasta::barcode71.ffn:bc71_00730,-,bc71_00730,-,N,441,62.81,0.764,,Response regulator rcp1
fasta::barcode71.ffn:bc71_00731,-,bc71_00731,-,N,1503,66.6,0.766,,Sensor histidine kinase RcsC
fasta::barcode71.ffn:bc71_00732,-,bc71_00732,-,N,522,65.33,0.696,,78-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)
fasta::barcode71.ffn:bc71_00733,-,bc71_00733,-,N,738,70.19,0.724,,flagellar-related 3-oxoacyl-ACP reductase 
fasta::barcode71.ffn:bc71_00734,-,bc71_00734,-,N,1185,66.75,0.69,,Putative S-adenosyl-L-methionine-dependent methyltransferase
fasta::barcode71.ffn:bc71_00735,-,bc71_00735,-,N,405,67.9,0.663,,hypothetical protein
fasta::barcode71.ffn:bc71_00736,-,bc71_00736,-,N,867,67.7,0.724,,2OG-Fe(II) oxygenase superfamily protein
fasta::barcode71.ffn:bc71_00737,-,bc71_00737,-,N,1473,66.73,0.725,,hypothetical protein
fasta::barcode71.ffn:bc71_00738,-,bc71_00738,-,N,2655,63.5,0.758,,TonB dependent receptor
fasta::barcode71.ffn:bc71_00739,-,bc71_00739,-,N,813,69.37,0.609,,hypothetical protein
fasta::barcode71.ffn:bc71_00740,-,bc71_00740,-,N,2073,68.31,0.721,,general secretion pathway protein D 
fasta::barcode71.ffn:bc71_00741,-,bc71_00741,-,N,1500,67.73,0.711,,general secretion pathway protein E 
fasta::barcode71.ffn:bc71_00742,-,bc71_00742,-,N,1197,68.09,0.748,,general secretion pathway protein F 
fasta::barcode71.ffn:bc71_00743,-,bc71_00743,-,N,465,67.74,0.764,,general secretion pathway protein G 
fasta::barcode71.ffn:bc71_00744,-,bc71_00744,-,N,525,72,0.718,,hypothetical protein
fasta::barcode71.ffn:bc71_00745,-,bc71_00745,-,N,396,68.94,0.625,,general secretion pathway protein I 
fasta::barcode71.ffn:bc71_00746,-,bc71_00746,-,N,600,68.33,0.599,,general secretion pathway protein J 
fasta::barcode71.ffn:bc71_00747,-,bc71_00747,-,N,993,67.57,0.65,,general secretion pathway protein K 
fasta::barcode71.ffn:bc71_00748,-,bc71_00748,-,N,1065,70.05,0.652,,Type II secretion system (T2SS) protein L
fasta::barcode71.ffn:bc71_00749,-,bc71_00749,-,N,453,69.32,0.648,,Type II secretion system (T2SS) protein M
fasta::barcode71.ffn:bc71_00750,-,bc71_00750,-,N,717,68.06,0.639,,Type II secretion system (T2SS) protein N
fasta::barcode71.ffn:bc71_00751,-,bc71_00751,-,N,756,67.99,0.729,,HTH-type transcriptional repressor NagR
fasta::barcode71.ffn:bc71_00752,-,bc71_00752,-,N,1278,62.21,0.685,,glucose/galactose transporter 
fasta::barcode71.ffn:bc71_00753,-,bc71_00753,-,N,1098,66.48,0.727,,sugar-binding transcriptional regulator LacI family 
fasta::barcode71.ffn:bc71_00754,-,bc71_00754,-,N,1029,68.42,0.748,,Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
fasta::barcode71.ffn:bc71_00755,-,bc71_00755,-,N,1155,70.13,0.764,,N-acetylglucosamine-6-phosphate deacetylase
fasta::barcode71.ffn:bc71_00756,-,bc71_00756,-,N,1356,66.22,0.554,,Peptidase family S41
fasta::barcode71.ffn:bc71_00757,-,bc71_00757,-,N,2697,62.63,0.707,,Vitamin B12 transporter BtuB
fasta::barcode71.ffn:bc71_00758,-,bc71_00758,-,N,1233,68.37,0.7,,Multifunctional CCA protein
fasta::barcode71.ffn:bc71_00759,-,bc71_00759,-,N,1971,69.51,0.725,,Soluble lytic murein transglycosylase
fasta::barcode71.ffn:bc71_00760,-,bc71_00760,-,N,2880,64.41,0.722,,Vitamin B12 transporter BtuB
fasta::barcode71.ffn:bc71_00761,-,bc71_00761,-,N,588,63.27,0.407,,hypothetical protein
fasta::barcode71.ffn:bc71_00762,-,bc71_00762,-,N,1671,64.87,0.697,,Oxygen-dependent choline dehydrogenase
fasta::barcode71.ffn:bc71_00763,-,bc71_00763,-,N,1473,66.12,0.718,,NAD/NADP-dependent betaine aldehyde dehydrogenase
fasta::barcode71.ffn:bc71_00764,-,bc71_00764,-,N,1980,63.79,0.714,,Osmo-dependent choline transporter BetT2
fasta::barcode71.ffn:bc71_00765,-,bc71_00765,-,N,768,65.89,0.733,,hypothetical protein
fasta::barcode71.ffn:bc71_00766,-,bc71_00766,-,N,822,68,0.806,,hypothetical protein
fasta::barcode71.ffn:bc71_00767,-,bc71_00767,-,N,651,67.43,0.792,,Thiol:disulfide interchange protein DsbA
fasta::barcode71.ffn:bc71_00768,-,bc71_00768,-,N,798,71.18,0.762,,Cytochrome c
fasta::barcode71.ffn:bc71_00769,-,bc71_00769,-,N,624,66.03,0.764,,putative GTP-binding protein EngB
fasta::barcode71.ffn:bc71_00770,-,bc71_00770,-,N,1365,65.64,0.778,,Glutamate--cysteine ligase EgtA
fasta::barcode71.ffn:bc71_00771,-,bc71_00771,-,N,1497,71.21,0.752,,Adaptive-response sensory-kinase SasA
fasta::barcode71.ffn:bc71_00772,-,bc71_00772,-,N,777,66.28,0.711,,biofilm-controlling response regulator 
fasta::barcode71.ffn:bc71_00773,-,bc71_00773,-,N,1098,66.85,0.682,,GT4: sucrose synthase  and 21 other functions.
fasta::barcode71.ffn:bc71_00774,-,bc71_00774,-,N,1167,67.18,0.615,,Voltage-dependent anion channel
fasta::barcode71.ffn:bc71_00775,-,bc71_00775,-,N,915,62.19,0.584,,HTH-type transcriptional regulator CysL
fasta::barcode71.ffn:bc71_00776,-,bc71_00776,-,N,276,63.41,0.475,,Transcriptional repressor FrmR
fasta::barcode71.ffn:bc71_00777,-,bc71_00777,-,N,1110,62.97,0.753,,S-(hydroxymethyl)glutathione dehydrogenase
fasta::barcode71.ffn:bc71_00778,-,bc71_00778,-,N,576,61.98,0.667,,Glutathione-dependent formaldehyde-activating enzyme
fasta::barcode71.ffn:bc71_00779,-,bc71_00779,-,N,831,63.42,0.705,,S-formylglutathione hydrolase
fasta::barcode71.ffn:bc71_00780,-,bc71_00780,-,N,1032,67.93,0.665,,2-aminoadipate transaminase
fasta::barcode71.ffn:bc71_00781,-,bc71_00781,-,N,381,73.49,0.665,,Bacterial regulatory proteins gntR family
fasta::barcode71.ffn:bc71_00782,-,bc71_00782,-,N,792,64.65,0.604,,phenazine biosynthesis protein PhzF isomerase 
fasta::barcode71.ffn:bc71_00783,-,bc71_00783,-,N,924,65.37,0.631,,EamA-like transporter family protein
fasta::barcode71.ffn:bc71_00784,-,bc71_00784,-,N,339,70.8,0.802,,hypothetical protein
fasta::barcode71.ffn:bc71_00785,-,bc71_00785,-,N,945,65.61,0.735,,putative protein DegV family
fasta::barcode71.ffn:bc71_00786,-,bc71_00786,-,N,816,62.62,0.749,,GH12: endoglucanase  and 3 other functions.
fasta::barcode71.ffn:bc71_00787,-,bc71_00787,-,N,789,59.06,0.584,,Endoglucanase S
fasta::barcode71.ffn:bc71_00788,-,bc71_00788,-,N,378,66.14,0.665,,PL4: rhamnogalacturonan endolyase .
fasta::barcode71.ffn:bc71_00789,-,bc71_00789,-,N,423,68.56,0.711,,PL4: rhamnogalacturonan endolyase .
fasta::barcode71.ffn:bc71_00790,-,bc71_00790,-,N,681,64.9,0.725,,PL4: rhamnogalacturonan endolyase .
fasta::barcode71.ffn:bc71_00791,-,bc71_00791,-,N,372,65.32,0.659,,hypothetical protein
fasta::barcode71.ffn:bc71_00792,-,bc71_00792,-,N,543,68.88,0.74,,hypothetical protein
fasta::barcode71.ffn:bc71_00793,-,bc71_00793,-,N,420,68.81,0.674,,hypothetical protein
fasta::barcode71.ffn:bc71_00794,-,bc71_00794,-,N,567,64.9,0.678,,hypothetical protein
fasta::barcode71.ffn:bc71_00795,-,bc71_00795,-,N,1281,69.63,0.75,,Amidohydrolase family protein
fasta::barcode71.ffn:bc71_00796,-,bc71_00796,-,N,1398,66.88,0.771,,CE9: N-acetylglucosamine 6-phosphate deacetylase  and 1 other functions.
fasta::barcode71.ffn:bc71_00797,-,bc71_00797,-,N,561,61.32,0.656,,Coxiella Dot/Icm type IVB secretion system translocated effector 
fasta::barcode71.ffn:bc71_00798,-,bc71_00798,-,N,876,68.04,0.723,,hypothetical protein
fasta::barcode71.ffn:bc71_00799,-,bc71_00799,-,N,927,67.42,0.783,,Thiosulfate sulfurtransferase GlpE
fasta::barcode71.ffn:bc71_00800,-,bc71_00800,-,N,777,70.91,0.727,,Peptidoglycan N-deacetylase 
fasta::barcode71.ffn:bc71_00801,-,bc71_00801,-,N,672,67.71,0.739,,Methyltransferase domain protein
fasta::barcode71.ffn:bc71_00802,-,bc71_00802,-,N,624,69.55,0.71,,CE3: acetyl xylan esterase .
fasta::barcode71.ffn:bc71_00803,-,bc71_00803,-,N,1272,66.98,0.729,,Glutamate-pyruvate aminotransferase AlaA
fasta::barcode71.ffn:bc71_00804,-,bc71_00804,-,N,783,53.64,0.348,,hypothetical protein
fasta::barcode71.ffn:bc71_00805,-,bc71_00805,-,N,1092,66.67,0.68,,Small ribosomal subunit biogenesis GTPase RsgA
fasta::barcode71.ffn:bc71_00806,-,bc71_00806,-,N,1263,65.72,0.676,,hypothetical protein
fasta::barcode71.ffn:bc71_00807,-,bc71_00807,-,N,681,64.02,0.729,,DJ-1/PfpI family protein
fasta::barcode71.ffn:bc71_00808,-,bc71_00808,-,N,1914,66.77,0.67,,Amylosucrase
fasta::barcode71.ffn:bc71_00809,-,bc71_00809,-,N,2457,65.69,0.783,,Vitamin B12 transporter BtuB
fasta::barcode71.ffn:bc71_00810,-,bc71_00810,-,N,1335,66.07,0.725,,Major Facilitator Superfamily protein
fasta::barcode71.ffn:bc71_00811,-,bc71_00811,-,N,1032,68.51,0.743,,sugar-binding transcriptional regulator LacI family 
fasta::barcode71.ffn:bc71_00812,-,bc71_00812,-,N,741,64.91,0.682,,flagellar-related 3-oxoacyl-ACP reductase 
fasta::barcode71.ffn:bc71_00813,-,bc71_00813,-,N,270,60.37,0.451,,hypothetical protein
fasta::barcode71.ffn:bc71_00814,-,bc71_00814,-,N,1329,64.64,0.773,,Citrate transporter
fasta::barcode71.ffn:bc71_00815,-,bc71_00815,-,N,1194,65.16,0.768,,Porin O
fasta::barcode71.ffn:bc71_00816,-,bc71_00816,-,N,702,65.81,0.703,,Possible two component system response transcriptional positive regulator PhoP 
fasta::barcode71.ffn:bc71_00817,-,bc71_00817,-,N,1386,68.25,0.726,,Possible two component system response sensor kinase membrane associated PhoR 
fasta::barcode71.ffn:bc71_00818,-,bc71_00818,-,N,1050,68.86,0.722,,Bacterial extracellular solute-binding protein
fasta::barcode71.ffn:bc71_00819,-,bc71_00819,-,N,807,66.29,0.673,,Transcriptional regulatory protein RcsB
fasta::barcode71.ffn:bc71_00820,-,bc71_00820,-,N,225,60.89,0.535,,hypothetical protein
fasta::barcode71.ffn:bc71_00821,-,bc71_00821,-,N,2646,68.97,0.766,,Sensor histidine kinase RcsC
fasta::barcode71.ffn:bc71_00822,-,bc71_00822,-,N,1170,65.64,0.812,,Porin P
fasta::barcode71.ffn:bc71_00823,-,bc71_00823,-,N,1347,64.74,0.789,,C4-dicarboxylate transport protein
fasta::barcode71.ffn:bc71_00824,-,bc71_00824,-,N,2310,65.19,0.827,,NADP-dependent malic enzyme
fasta::barcode71.ffn:bc71_00825,-,bc71_00825,-,N,3360,67.35,0.68,,GH92: mannosyl-oligosaccharide alpha-12-mannosidase  and 7 other functions.
fasta::barcode71.ffn:bc71_00826,-,bc71_00826,-,N,198,66.16,0.784,,hypothetical protein
fasta::barcode71.ffn:bc71_00827,-,bc71_00827,-,N,1113,71.34,0.678,,GT4: sucrose synthase  and 21 other functions.
fasta::barcode71.ffn:bc71_00828,-,bc71_00828,-,N,1335,70.04,0.694,,O-Antigen ligase
fasta::barcode71.ffn:bc71_00829,-,bc71_00829,-,N,921,66.67,0.726,,lipid A biosynthesis lauroyl acyltransferase 
fasta::barcode71.ffn:bc71_00830,-,bc71_00830,-,N,1320,67.5,0.686,,lipopolysaccharide core biosynthesis protein WaaP 
fasta::barcode71.ffn:bc71_00831,-,bc71_00831,-,N,1374,59.39,0.543,,Outer membrane protein TolC
fasta::barcode71.ffn:bc71_00832,-,bc71_00832,-,N,657,66.97,0.79,,Protein-L-isoaspartate O-methyltransferase
fasta::barcode71.ffn:bc71_00833,-,bc71_00833,-,N,654,66.36,0.72,,hypothetical protein
fasta::barcode71.ffn:bc71_00834,-,bc71_00834,-,N,3000,68.83,0.684,,Two component regulator propeller
fasta::barcode71.ffn:bc71_00835,-,bc71_00835,-,N,903,68.99,0.69,,HTH-type transcriptional activator CmpR
fasta::barcode71.ffn:bc71_00836,-,bc71_00836,-,N,1440,64.58,0.702,,3-isopropylmalate dehydratase large subunit
fasta::barcode71.ffn:bc71_00837,-,bc71_00837,-,N,648,61.27,0.684,,3-isopropylmalate dehydratase small subunit 1
fasta::barcode71.ffn:bc71_00838,-,bc71_00838,-,N,750,65.6,0.637,,putative methyltransferase YcgJ
fasta::barcode71.ffn:bc71_00839,-,bc71_00839,-,N,1074,63.41,0.659,,3-isopropylmalate dehydrogenase
fasta::barcode71.ffn:bc71_00840,-,bc71_00840,-,N,684,60.67,0.408,,hypothetical protein
fasta::barcode71.ffn:bc71_00841,-,bc71_00841,-,N,1563,65.2,0.764,,2-isopropylmalate synthase
fasta::barcode71.ffn:bc71_00842,-,bc71_00842,-,N,1176,67.01,0.626,,Pyridoxal-phosphate dependent enzyme
fasta::barcode71.ffn:bc71_00843,-,bc71_00843,-,N,258,68.6,0.781,,ACT domain protein
fasta::barcode71.ffn:bc71_00844,-,bc71_00844,-,N,1722,66.55,0.743,,Acetolactate synthase isozyme 2 large subunit
fasta::barcode71.ffn:bc71_00845,-,bc71_00845,-,N,1002,62.67,0.776,,Ketol-acid reductoisomerase (NADP(+))
fasta::barcode71.ffn:bc71_00846,-,bc71_00846,-,N,1710,65.09,0.728,,gamma-glutamyltranspeptidase
fasta::barcode71.ffn:bc71_00847,-,bc71_00847,-,N,1839,68.95,0.706,,Methyl-accepting chemotaxis protein (MCP) signalling domain protein
fasta::barcode71.ffn:bc71_00848,-,bc71_00848,-,N,1980,64.19,0.666,,CE1: acetyl xylan esterase  and 6 other functions.
fasta::barcode71.ffn:bc71_00849,-,bc71_00849,-,N,180,67.22,0.578,,hypothetical protein
fasta::barcode71.ffn:bc71_00850,-,bc71_00850,-,N,1878,62.09,0.675,,Phosphomethylpyrimidine synthase
fasta::barcode71.ffn:bc71_00851,-,bc71_00851,-,N,2325,65.89,0.596,,Tol-Pal system protein TolB
fasta::barcode71.ffn:bc71_00852,-,bc71_00852,-,N,894,63.76,0.589,,Helix-turn-helix domain protein
fasta::barcode71.ffn:bc71_00853,-,bc71_00853,-,N,2889,61.96,0.723,,Vitamin B12 transporter BtuB
fasta::barcode71.ffn:bc71_00854,-,bc71_00854,-,N,1113,67.74,0.711,,HDOD domain protein
fasta::barcode71.ffn:bc71_00855,-,bc71_00855,-,N,537,63.5,0.848,,Inorganic pyrophosphatase
fasta::barcode71.ffn:bc71_00856,-,bc71_00856,-,N,483,64.39,0.622,,hypothetical protein
fasta::barcode71.ffn:bc71_00857,-,bc71_00857,-,N,2028,62.77,0.642,,K(+)-insensitive pyrophosphate-energized proton pump
fasta::barcode71.ffn:bc71_00858,-,bc71_00858,-,N,507,64.69,0.587,,hypothetical protein
fasta::barcode71.ffn:bc71_00859,-,bc71_00859,-,N,672,66.96,0.518,,hypothetical protein
fasta::barcode71.ffn:bc71_00860,-,bc71_00860,-,N,360,60.83,0.581,,hypothetical protein
fasta::barcode71.ffn:bc71_00861,-,bc71_00861,-,N,1377,58.97,0.511,,hypothetical protein
fasta::barcode71.ffn:bc71_00862,-,bc71_00862,-,N,834,63.55,0.654,,IS3 family transposase ISXca1
fasta::barcode71.ffn:bc71_00863,-,bc71_00863,-,N,267,62.92,0.732,,IS3 family transposase ISXca1
fasta::barcode71.ffn:bc71_00864,-,bc71_00864,-,N,393,51.65,0.447,,hypothetical protein
fasta::barcode71.ffn:bc71_00865,-,bc71_00865,-,N,531,54.8,0.411,,hypothetical protein
fasta::barcode71.ffn:bc71_00866,-,bc71_00866,-,N,981,61.98,0.631,,IS5 family transposase IS1646
fasta::barcode71.ffn:bc71_00867,-,bc71_00867,-,N,1170,60.43,0.598,,TrbL/VirB6 plasmid conjugal transfer protein
fasta::barcode71.ffn:bc71_00868,-,bc71_00868,-,N,1347,60.36,0.551,,hypothetical protein
fasta::barcode71.ffn:bc71_00869,-,bc71_00869,-,N,585,50.6,0.457,,hypothetical protein
fasta::barcode71.ffn:bc71_00870,-,bc71_00870,-,N,1122,59.8,0.597,,TrbL/VirB6 plasmid conjugal transfer protein
fasta::barcode71.ffn:bc71_00871,-,bc71_00871,-,N,1338,63.9,0.592,,IS5 family transposase IS1478
fasta::barcode71.ffn:bc71_00872,-,bc71_00872,-,N,762,56.3,0.547,,hypothetical protein
fasta::barcode71.ffn:bc71_00873,-,bc71_00873,-,N,1257,67.3,0.776,,Pyrophosphate--fructose 6-phosphate 1-phosphotransferase
fasta::barcode71.ffn:bc71_00874,-,bc71_00874,-,N,564,64.36,0.655,,Adenylate kinase
fasta::barcode71.ffn:bc71_00875,-,bc71_00875,-,N,1359,67.48,0.686,,UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-26-diaminoheptandioate ligase
fasta::barcode71.ffn:bc71_00876,-,bc71_00876,-,N,600,67,0.662,,ATP-dependent protease La (LON) substrate-binding domain protein
fasta::barcode71.ffn:bc71_00877,-,bc71_00877,-,N,885,63.95,0.699,,Bestrophin RFP-TM chloride channel
fasta::barcode71.ffn:bc71_00878,-,bc71_00878,-,N,2082,68.4,0.714,,SNARE associated Golgi protein
fasta::barcode71.ffn:bc71_00879,-,bc71_00879,-,N,660,68.94,0.696,,hypothetical protein
fasta::barcode71.ffn:bc71_00880,-,bc71_00880,-,N,816,67.28,0.676,,3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
fasta::barcode71.ffn:bc71_00881,-,bc71_00881,-,N,603,65.17,0.456,,hypothetical protein
fasta::barcode71.ffn:bc71_00882,-,bc71_00882,-,N,948,64.77,0.748,,hypothetical protein
fasta::barcode71.ffn:bc71_00883,-,bc71_00883,-,N,873,65.75,0.731,,Ion transport protein
fasta::barcode71.ffn:bc71_00884,-,bc71_00884,-,N,1263,69.75,0.781,,diaminobutyrate-2-oxoglutarate aminotransferase PvdH 
fasta::barcode71.ffn:bc71_00885,-,bc71_00885,-,N,246,70.33,0.607,,hypothetical protein
fasta::barcode71.ffn:bc71_00886,-,bc71_00886,-,N,2292,62.43,0.704,,Vitamin B12 transporter BtuB
fasta::barcode71.ffn:bc71_00887,-,bc71_00887,-,N,1551,64.86,0.718,,L-amino acid oxidase
fasta::barcode71.ffn:bc71_00888,-,bc71_00888,-,N,426,65.02,0.636,,Cytochrome C oxidase cbb3-type subunit III
fasta::barcode71.ffn:bc71_00889,-,bc71_00889,-,N,504,63.89,0.699,,Endoribonuclease L-PSP
fasta::barcode71.ffn:bc71_00890,-,bc71_00890,-,N,1200,66.08,0.699,,Histidinol-phosphate aminotransferase
fasta::barcode71.ffn:bc71_00891,-,bc71_00891,-,N,450,62.67,0.682,,Azurin
fasta::barcode71.ffn:bc71_00892,-,bc71_00892,-,N,2766,68.69,0.691,,HTH-type transcriptional regulator MalT
fasta::barcode71.ffn:bc71_00893,-,bc71_00893,-,N,1290,68.45,0.819,,diaminobutyrate-2-oxoglutarate aminotransferase PvdH 
fasta::barcode71.ffn:bc71_00894,-,bc71_00894,-,N,1818,64.96,0.712,,hypothetical protein
fasta::barcode71.ffn:bc71_00895,-,bc71_00895,-,N,1362,64.24,0.807,,Protein oar
fasta::barcode71.ffn:bc71_00896,-,bc71_00896,-,N,624,68.59,0.649,,Thiamine-phosphate synthase
fasta::barcode71.ffn:bc71_00897,-,bc71_00897,-,N,192,62.5,0.774,,Rubredoxin-2
fasta::barcode71.ffn:bc71_00898,-,bc71_00898,-,N,882,67.23,0.707,,Transglutaminase-like superfamily protein
fasta::barcode71.ffn:bc71_00899,-,bc71_00899,-,N,450,64.89,0.716,,putative ACR
fasta::barcode71.ffn:bc71_00900,-,bc71_00900,-,N,648,67.13,0.787,,Ribose-5-phosphate isomerase A
fasta::barcode71.ffn:bc71_00901,-,bc71_00901,-,N,471,62.85,0.762,,EVE domain protein
fasta::barcode71.ffn:bc71_00902,-,bc71_00902,-,N,591,70.9,0.701,,5-formyltetrahydrofolate cyclo-ligase
fasta::barcode71.ffn:bc71_00903,-,bc71_00903,-,N,297,64.65,0.701,,Cell division protein ZapA
fasta::barcode71.ffn:bc71_00904,-,bc71_00904,-,N,258,67.83,0.675,,hypothetical protein
fasta::barcode71.ffn:bc71_00905,-,bc71_00905,-,N,543,69.61,0.773,,hypothetical protein
fasta::barcode71.ffn:bc71_00906,-,bc71_00906,-,N,1335,67.19,0.732,,Xaa-Pro aminopeptidase
fasta::barcode71.ffn:bc71_00907,-,bc71_00907,-,N,471,55.41,0.442,,IS5 family transposase IS1480b
fasta::barcode71.ffn:bc71_00908,-,bc71_00908,-,N,387,58.66,0.492,,hypothetical protein
fasta::barcode71.ffn:bc71_00909,-,bc71_00909,-,N,1326,66.97,0.777,,Xaa-Pro dipeptidase
fasta::barcode71.ffn:bc71_00910,-,bc71_00910,-,N,345,68.7,0.713,,hypothetical protein
fasta::barcode71.ffn:bc71_00911,-,bc71_00911,-,N,2439,69.58,0.68,,hypothetical protein
fasta::barcode71.ffn:bc71_00912,-,bc71_00912,-,N,1158,67.27,0.745,,Heme chaperone HemW
fasta::barcode71.ffn:bc71_00913,-,bc71_00913,-,N,600,68.17,0.768,,deoxyribonucleotide triphosphate pyrophosphatase 
fasta::barcode71.ffn:bc71_00914,-,bc71_00914,-,N,393,65.9,0.738,,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily protein
fasta::barcode71.ffn:bc71_00915,-,bc71_00915,-,N,726,67.63,0.77,,Ribonuclease PH
fasta::barcode71.ffn:bc71_00916,-,bc71_00916,-,N,861,66.78,0.736,,hypothetical protein
fasta::barcode71.ffn:bc71_00917,-,bc71_00917,-,N,612,66.67,0.775,,Guanylate kinase
fasta::barcode71.ffn:bc71_00918,-,bc71_00918,-,N,300,62.67,0.77,,DNA-directed RNA polymerase subunit omega
fasta::barcode71.ffn:bc71_00919,-,bc71_00919,-,N,2172,64.87,0.745,,Probable GTP pyrophosphokinase RelA (ATP:GTP 3'-pyrophosphotransferase (PPGPP synthetase I ((P PPGPP synthetase (GTP diphosphokinase 
fasta::barcode71.ffn:bc71_00920,-,bc71_00920,-,N,870,67.36,0.675,,DNA-binding transcriptional activator AllS 
